City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Antonio Enes,-16.2325,39.9086,76.96,72,56,9.26,MZ,1682635866
81,Bardai,11.65,7.2333,75.15,72,100,19.33,NG,1682635866
82,San Patricio,28.017,-97.5169,82.17,56,45,6.08,US,1682635866
83,Lebu,-37.6167,-73.65,58.14,93,100,11.5,CL,1682635639
84,Pechora,65.1472,57.2244,22.91,90,98,10.74,RU,1682635866
85,Urmary,55.6789,47.944,51.33,85,23,4.32,RU,1682635866
86,Morinville,53.8001,-113.652,59.88,26,75,12.66,CA,1682635867
87,Las Palmas,28.4204,-14.0131,66.99,73,0,10.36,ES,1682635867
88,Mar Del Plata,-38.0023,-57.5575,62.1,89,0,5.75,AR,1682635867
89,Bengkulu,-3.8004,102.2655,75.25,93,99,4.21,ID,1682635867
90,Tofol,5.3248,163.0078,80.38,89,100,3.44,FM,1682635867
91,Ghadamis,30.1337,9.5007,79.0,15,0,9.01,LY,1682635867
92,Mumford,5.2618,-0.759,75.15,91,100,17.16,GH,1682635867
93,Anadyr,64.75,177.4833,16.3,78,0,8.95,RU,1682635867
94,Nuuk,64.1835,-51.7216,36.21,80,0,17.27,GL,1682635868
95,Tari,12.4086,4.4914,87.98,40,50,10.38,NG,1682635868
96,Iskateley,67.6803,53.1512,23.68,89,99,8.99,RU,1682635868
97,Quincy,42.2529,-71.0023,55.98,85,100,6.91,US,1682635779
98,Colonia,50.9333,6.95,54.95,60,0,5.75,DE,1682635868
99,Kourou,5.1552,-52.6478,77.05,91,96,5.97,GF,1682635868
100,Palikir - National Government Center,6.9248,158.1611,83.25,83,100,13.8,FM,1682635868
101,Inarajan Village,13.2736,144.7484,83.39,89,20,19.55,GU,1682635869
102,Gamba,-2.65,10.0,78.37,87,100,4.21,GA,1682635869
103,Praia Da Vitoria,38.7333,-27.0667,64.65,77,40,21.16,PT,1682635869
104,Boyolangu,-8.1181,111.8935,75.92,93,100,0.81,ID,1682635869
105,Ulanhot,46.0833,122.0833,49.62,52,91,2.84,CN,1682635869
106,Tadine,-21.55,167.8833,75.31,72,77,17.6,NC,1682635869
107,Lovisa,60.4566,26.2251,38.28,77,100,5.93,FI,1682635869
108,Tarakan,3.3,117.6333,78.3,94,20,3.44,ID,1682635758
109,Hermanus,-34.4187,19.2345,60.08,83,17,11.16,ZA,1682635870
110,Novoishimskiy,53.1981,66.7694,59.83,46,100,8.05,KZ,1682635870
111,Iqaluit,63.7506,-68.5145,29.93,100,100,12.66,CA,1682635870
112,Natal,-5.795,-35.2094,83.05,78,20,8.05,BR,1682635870
113,Kuanda,56.3161,116.0806,30.65,59,28,1.01,RU,1682635870
114,Matoury,4.8483,-52.3317,76.96,94,0,0.0,GF,1682635870
115,Vadso,70.0744,29.7487,34.68,93,66,10.36,NO,1682635871
116,Ifanadiana,-21.3,47.6333,65.05,98,93,1.59,MG,1682635871
117,Dila,6.4167,38.3167,62.47,96,100,1.66,ET,1682635871
118,Mirny,62.5353,113.9611,28.24,74,99,1.99,RU,1682635871
119,Longyearbyen,78.2186,15.6401,26.44,93,100,13.8,SJ,1682635871
120,Morwa,22.9,73.8333,79.72,46,58,1.9,IN,1682635871
121,Gurupi,-11.7292,-49.0686,78.85,59,19,1.61,BR,1682635871
122,Ampanihy,-24.7,44.75,63.7,95,0,6.49,MG,1682635872
123,El Colomo,19.05,-104.25,82.38,52,31,8.79,MX,1682635872
124,Tsushima,35.1667,136.7167,65.16,62,63,2.44,JP,1682635872
125,Monte Caseros,-30.2536,-57.6363,65.48,69,6,2.68,AR,1682635872
126,Tocopilla,-22.092,-70.1979,70.68,72,5,8.41,CL,1682635872
127,Qui Nhon,13.7667,109.2333,76.3,87,55,4.99,VN,1682635872
128,Young,-32.6833,-57.6333,64.53,66,64,4.34,UY,1682635872
129,Puerto Baquerizo Moreno,-0.9,-89.6,83.39,74,20,6.91,EC,1682635872
130,Cidreira,-30.1811,-50.2056,64.96,78,1,6.06,BR,1682635873
131,Tolanaro,-25.0319,46.9987,71.67,88,75,6.91,MG,1682635873
132,St. John'S,47.5649,-52.7093,36.16,90,75,14.0,CA,1682635773
133,Micheweni,-4.9667,39.8333,78.69,83,97,15.43,TZ,1682635873
134,Camana,-16.6228,-72.7111,69.82,85,60,6.13,PE,1682635873
135,Coquimbo,-29.9533,-71.3436,58.73,82,75,9.22,CL,1682635873
136,Egilsstadir,65.2653,-14.3948,28.31,74,75,9.22,IS,1682635873
137,Ojinaga,29.5667,-104.4167,88.57,16,0,3.44,MX,1682635873
138,Tonota,-21.4833,27.4833,65.84,55,3,6.29,BW,1682635874
139,Ushuaia,-54.8,-68.3,42.42,65,40,18.41,AR,1682635874
140,Sittwe,20.15,92.9,80.24,77,14,6.33,MM,1682635874
141,Ramadi,33.4226,43.3058,78.64,13,2,11.68,IQ,1682635850
142,Hawaiian Paradise Park,19.5933,-154.9731,81.91,72,0,13.8,US,1682635874
143,Port Mathurin,-19.6833,63.4167,78.6,81,64,14.9,MU,1682635874
144,Sisimiut,66.9395,-53.6735,30.24,83,15,9.71,GL,1682635874
145,Al Kharj,24.155,47.3346,77.58,33,15,7.63,SA,1682635875
146,Inebolu,41.9747,33.7608,52.52,98,100,8.34,TR,1682635875
147,Punta Arenas,-53.15,-70.9167,41.11,65,0,4.61,CL,1682635875
148,Ribeira Grande,38.5167,-28.7,60.78,89,14,5.99,PT,1682635875
149,Carnarvon,-24.8667,113.6333,66.74,52,93,23.44,AU,1682635875
150,Port Lincoln,-34.7333,135.8667,60.08,51,87,15.86,AU,1682635875
151,Fort Bragg,35.139,-79.006,66.81,85,100,8.05,US,1682635876
152,Remire-Montjoly,4.9167,-52.2667,77.04,94,0,0.0,GF,1682635876
153,Sapele,5.8941,5.6767,73.53,90,100,4.34,NG,1682635876
154,Fort St. John,56.2499,-120.8529,55.29,30,75,21.85,CA,1682635876
155,Peterhead,57.5058,-1.7981,45.0,94,100,23.51,GB,1682635876
156,College,64.8569,-147.8028,44.92,46,40,6.91,US,1682635871
157,Imbituba,-28.24,-48.6703,67.17,86,1,8.41,BR,1682635849
158,Bethel,41.3712,-73.414,55.36,79,75,6.91,US,1682635876
159,Namtsy,62.7161,129.6658,29.89,96,100,4.38,RU,1682635877
160,Saint-Pierre,-21.3393,55.4781,70.57,88,100,5.75,RE,1682635877
161,Hanceville,34.0607,-86.7675,69.62,97,100,4.47,US,1682635799
162,Isafjordur,66.0755,-23.124,29.12,65,13,6.98,IS,1682635877
163,Le Port,-20.9373,55.2919,71.56,88,21,3.87,RE,1682635877
164,Acarau,-2.8856,-40.12,75.85,89,100,5.21,BR,1682635679
165,San Juan,-31.5375,-68.5364,74.25,33,2,9.19,AR,1682635802
166,Prince George,53.9166,-122.753,60.26,28,75,9.22,CA,1682635842
167,Big Spring,32.2504,-101.4787,80.11,18,0,11.5,US,1682635878
168,Mil'Kovo,55.6078,37.7956,55.8,86,44,5.86,RU,1682635878
169,Al Bawiti,28.3492,28.8659,64.69,67,0,12.46,EG,1682635878
170,Vanino,49.0869,140.2543,42.21,49,5,4.03,RU,1682635878
171,Udachny,66.4167,112.4,17.65,95,77,4.34,RU,1682635878
172,Eureka,40.8021,-124.1637,71.2,68,15,5.99,US,1682635879
173,Pisco,-13.7,-76.2167,73.45,78,0,16.11,PE,1682635879
174,Sucua,-2.4667,-78.1667,75.94,83,75,2.3,EC,1682635879
175,Ghat,24.9647,10.1728,82.02,18,79,5.01,LY,1682635879
176,Mount Isa,-20.7333,139.5,73.17,49,45,2.3,AU,1682635879
177,Maintirano,-18.0667,44.0167,77.43,75,4,9.28,MG,1682635879
178,Val-D'Or,48.1002,-77.7828,46.49,46,75,11.5,CA,1682635843
179,Inirida,3.8653,-67.9239,76.14,93,75,0.4,CO,1682635880
180,Box Elder,41.5005,-112.8764,65.23,36,100,18.37,US,1682635880
181,Katsuura,35.1333,140.3,65.46,65,21,16.2,JP,1682635880
182,Tangalle,6.024,80.7911,77.81,89,96,5.66,LK,1682635880
183,Taltal,-25.4,-70.4833,65.21,81,37,5.77,CL,1682635880
184,Naze,28.3667,129.4833,68.92,73,99,10.76,JP,1682635880
185,Tamanrasset,22.785,5.5228,82.31,10,40,11.5,DZ,1682635880
186,Chissamba,-12.1667,17.3333,58.8,70,8,3.91,AO,1682635880
187,Cabo San Lucas,22.8909,-109.9124,83.61,41,0,11.5,MX,1682635863
188,Lyantonde,-0.4031,31.1572,62.35,96,48,2.17,UG,1682635881
189,Badger,64.8,-147.5333,44.85,44,40,6.91,US,1682635881
190,Balkanabat,39.5108,54.3671,75.0,43,99,4.65,TM,1682635881
191,Moranbah,-22.0016,148.0466,70.43,73,36,15.39,AU,1682635881
192,Guiuan,11.0333,125.7247,83.46,77,76,12.84,PH,1682635881
193,San Luis De La Loma,17.2706,-100.8939,84.43,54,25,9.31,MX,1682635882
194,Ilulissat,69.2167,-51.1,30.22,86,20,3.44,GL,1682635583
195,Betio Village,1.358,172.9211,86.04,77,22,13.6,KI,1682635882
196,Hastings,50.8552,0.5729,54.12,55,100,8.57,GB,1682635872
197,Utrik,11.2278,169.8474,80.31,83,64,20.45,MH,1682635882
198,Pandan,14.0453,124.1694,81.5,83,20,9.55,PH,1682635882
